file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,147,css,8f97cc2b,aaarf404,2025-04-18,23:22:33,-07:00,2025-04-18T23:22:33-07:00,0,0
style.css,148,css,8f97cc2b,aaarf404,2025-04-18,23:22:33,-07:00,2025-04-18T23:22:33-07:00,0,0
style.css,149,css,5e58ddae,aaarf404,2025-05-02,20:55:01,-07:00,2025-05-02T20:55:01-07:00,0,18
style.css,150,css,5e58ddae,aaarf404,2025-05-02,20:55:01,-07:00,2025-05-02T20:55:01-07:00,1,14
style.css,151,css,5e58ddae,aaarf404,2025-05-02,20:55:01,-07:00,2025-05-02T20:55:01-07:00,1,16
style.css,152,css,5e58ddae,aaarf404,2025-05-02,20:55:01,-07:00,2025-05-02T20:55:01-07:00,0,0
style.css,153,css,5e58ddae,aaarf404,2025-05-02,20:55:01,-07:00,2025-05-02T20:55:01-07:00,1,16
style.css,154,css,5e58ddae,aaarf404,2025-05-02,20:55:01,-07:00,2025-05-02T20:55:01-07:00,0,0
style.css,155,css,7f16951e,aaarf404,2025-04-12,23:17:57,-07:00,2025-04-12T23:17:57-07:00,1,0
style.css,156,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,7
style.css,157,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,12
style.css,158,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,57
style.css,159,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,9
style.css,160,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,10
style.css,161,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,11
style.css,162,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,21
style.css,163,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,0
style.css,164,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,0
style.css,165,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,10
style.css,166,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,12
style.css,167,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,18
style.css,168,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,9
style.css,169,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,0
style.css,170,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,0
style.css,171,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,15
style.css,172,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,9
style.css,173,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,10
style.css,174,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,29
style.css,175,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,17
style.css,176,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,1,20
style.css,177,css,c0509c03,aaarf404,2025-05-02,21:02:57,-07:00,2025-05-02T21:02:57-07:00,0,0
style.css,178,css,991a6c14,aaarf404,2025-04-12,22:41:39,-07:00,2025-04-12T22:41:39-07:00,1,0
